,ddpg,rip,ospf,random
336,1.100966,0.903191,0.80187,1.301106
337,1.101554,1.100876,1.100728,1.101562
338,1.1016929999999998,1.1022429999999999,1.142543,1.101854
339,0.8011980000000001,1.101986,0.937536,0.800932
340,0.802425,0.801509,1.400616,1.500483
341,1.100579,1.601178,2.400303,1.600959
342,0.90138,0.9016000000000001,1.301172,1.001347
343,1.1004829999999999,0.900675,2.000919,1.10081
344,1.000996,1.101426,1.604692,1.301144
345,1.2012079999999998,1.4009589999999998,1.0054,1.301241
346,0.90077,0.901414,1.000941,1.500593
347,1.002047,0.802242,1.600876,1.100812
348,1.3009959999999998,1.401476,1.301282,1.302119
349,0.801498,1.201619,1.100959,0.902092
350,1.200701,0.802042,0.801638,1.201497
351,0.902173,1.002443,1.50204,1.101045
352,1.100965,0.900967,1.300467,1.100604
353,1.501526,2.002174,1.401458,1.000331
354,0.9014380000000001,0.901458,1.600914,1.400896
355,1.000309,1.0010029999999999,1.40085,1.202828
356,1.300694,0.901641,1.001058,1.500986
357,1.6015439999999999,1.000737,1.401653,0.901718
358,0.802004,1.2006759999999999,1.100461,1.301383
359,1.302274,1.1010959999999999,1.40081,1.501773
360,1.100574,1.6014089999999999,0.901881,1.100989
361,1.5010649999999999,1.5009599999999998,1.700948,1.504243
362,1.000646,1.0028839999999999,1.80093,1.60444
363,1.201836,1.3012309999999998,1.101675,1.40168
364,1.000791,2.001371,1.60086,1.800527
365,1.200918,1.0018509999999998,1.000817,1.201265
366,1.2018739999999999,1.700675,1.300568,1.501644
367,1.101478,1.300667,1.400668,1.202217
368,1.00104,1.500486,1.200394,1.601905
369,1.2016859999999998,0.90077,1.000514,1.000619
370,1.001634,1.702548,1.001366,1.200682
371,1.500799,1.1009019999999998,1.301569,1.300803
372,1.5004199999999999,1.102085,1.502027,1.300486
373,1.201639,1.1008289999999998,1.502555,1.500415
374,1.101549,1.2009539999999999,1.501045,1.401732
375,1.2007269999999999,1.2007139999999998,1.400909,1.001065
376,1.40191,1.9007429999999998,1.000931,0.901029
377,1.6013519999999999,0.802378,1.101531,1.101825
378,0.800519,1.901872,1.001994,1.300533
379,1.200996,1.501428,1.400702,1.601816
380,1.3013299999999999,1.4007649999999998,1.300604,1.703209
381,1.0007359999999998,0.9007299999999999,1.501567,1.30092
382,1.000762,1.017302,1.20048,2.600865
383,1.001547,1.3004099999999998,1.300814,1.600455
384,1.400621,1.200612,1.402925,1.101312
385,1.3011579999999998,1.401098,1.40239,1.701396
386,0.900578,1.302857,1.301837,1.400966
387,1.501491,1.6015169999999999,1.700551,1.902018
388,1.100779,1.1006559999999999,1.300826,1.301204
389,1.200519,1.100674,1.300856,1.300646
390,1.501734,1.3005449999999998,1.30064,1.000376
391,1.2010409999999998,1.101597,1.101622,1.000857
392,1.4016979999999999,1.5004039999999998,1.101073,1.701875
393,1.20194,0.9010570000000001,1.800727,1.200627
394,1.300455,1.2007169999999998,1.300778,1.800553
395,1.1007179999999999,1.201428,1.600977,1.300868
396,1.102194,1.0016129999999999,1.400568,1.301556
397,1.400868,1.0011029999999999,1.201184,1.201343
398,1.302142,1.000943,1.301568,1.100459
399,1.1016309999999998,1.201884,1.200524,1.400817
